Geneid	pOka_WT_2
64216	289
163882	466
51097	1443
25909	1254
57116	29
93474	60
79862	75
388759	5
7678	90
317705	0
84838	346
114548	0
127623	0
441932	0
148823	0
81472	0
81470	0
81469	0
441933	0
343169	0
26188	0
284532	0
391189	0
25893	387
343171	26
343172	0
284521	0
391190	0
391191	0
81466	0
26246	1
391192	0
127059	0
391194	0
127062	1
26245	0
391195	1
127064	0
391196	0
127066	0
127074	0
254879	0
26696	0
401992	0
343173	0
401993	0
391211	0
343563	0
127068	0
127069	0
127077	0
403244	0
403239	0
401994	0
646627	0
80851	780
79894	486
55657	402
267002	93
347688	1
10771	1548
22982	732
23185	1299
23560	1091
91734	38
3422	2964
22884	474
105	0
5214	7355
10531	1280
1316	1151
83592	0
1645	1
1646	2
8644	143
1109	0
114131	0
79861	0
10276	431
51806	0
810	0
79754	454
54906	1386
2665	5043
54522	99
84893	1163
3601	63
3559	0
84991	1222
5209	1474
5588	1
57713	37
80760	0
3698	1
22944	254
509	3073
83860	272
2625	5
10659	1630
9712	357
79746	224
254427	123
26019	980
55526	455
55176	220
11164	1048
8872	1439
57118	203
83643	53
10133	1861
55388	309
221044	0
5264	484
22929	1344
222389	219
8559	321
55691	1785
83641	709
441549	20
51182	596
79723	310
64421	224
644890	2
55301	0
414149	147
221060	10
10557	331
9397	950
221061	664
8516	1
80013	581
9317	931
389941	47
6251	1309
8029	45
1787	169
7431	108264
338596	5
9200	709
8027	1224
653567	9
4360	13
221074	3
783	24
221078	132
221079	338
340895	0
84898	3077
10529	760
387638	0
399726	269
387640	44
8028	941
64215	471
340900	0
100532731	0
23412	134
648	60
9576	0
5305	1794
219681	11
22921	416
256297	0
256815	37
220213	186
56243	1111
57584	1559
56952	186
219670	3
79896	104
57512	0
53904	145
2572	2
54518	0
23590	170
10006	936
22852	342
10730	2821
84930	669
91452	555
374308	0
22931	1356
283078	1
55130	54
143098	2
51322	2560
25805	1739
283080	0
84569	0
6840	92
57608	0
55149	286
1326	107
119180	0
220929	114
6935	619
94134	1032
3799	3508
80314	407
79741	16
3688	21206
8829	938
56288	926
8453	862
1390	225
219771	1145
219770	2
8325	128
91074	0
100288485	0
57209	369
219749	202
7581	505
7587	433
7582	505
9790	1102
5979	0
55454	377
221002	242
53828	0
3185	4036
8187	34
220992	35
7580	147
100130539	0
6387	0
643236	0
83937	325
11067	37
220979	28
7570	293
79290	0
240	86
220972	486
93550	54
253725	542
119016	69
83849	5
9721	2
5540	0
100996758	0
195977	0
728113	0
642517	27
100133093	0
644054	0
653145	0
118738	85
5949	16
2658	0
2662	0
26095	0
143162	0
5599	433
58504	103
57705	1
474354	0
196740	207
170370	0
170371	22
118461	16
644168	485
2074	1088
267004	0
1103	12
6572	0
282966	0
55753	463
8505	366
100652748	69
4477	0
8031	3248
100287932	1067
414189	205
387680	789
56624	4
259230	277
653308	2
29974	4
5592	133
23283	747
22943	992
4153	0
65217	1
100463289	0
11130	1311
253430	282
